Date,Open,High,Low,Close,Volume,Adj Close
8/3/2015,2104.48999,2112.659912,2052.090088,2083.389893,4086235500,2083.389893
7/1/2015,2067,2132.820068,2044.02002,2103.840088,3709178600,2103.840088
6/1/2015,2108.639893,2129.870117,2056.320068,2063.110107,3513296300,2063.110107
5/1/2015,2087.379883,2134.719971,2067.929932,2107.389893,3298780000,2107.389893
4/1/2015,2067.629883,2125.919922,2048.379883,2085.51001,3521458000,2085.51001
3/2/2015,2105.22998,2117.52002,2039.689941,2067.889893,3638745400,2067.889893
2/2/2015,1996.670044,2119.590088,1980.900024,2104.5,3806470500,2104.5
1/2/2015,2058.899902,2072.360107,1988.119995,1994.98999,4091934500,1994.98999
12/1/2014,2065.780029,2093.550049,1972.560059,2058.899902,3788631300,2058.899902
11/3/2014,2018.209961,2075.76001,2001.01001,2067.560059,3479201500,2067.560059
10/1/2014,1971.439941,2018.189941,1820.660034,2018.050049,4260310800,2018.050049
9/2/2014,2004.069946,2019.26001,1964.040039,1972.290039,3364623800,1972.290039
8/1/2014,1929.800049,2005.040039,1904.780029,2003.369995,2875718500,2003.369995
7/1/2014,1962.290039,1991.390015,1930.670044,1930.670044,3214440400,1930.670044
6/2/2014,1923.869995,1968.170044,1915.97998,1960.22998,3158130000,1960.22998
5/1/2014,1884.390015,1924.030029,1859.790039,1923.569946,3185100900,1923.569946
4/1/2014,1873.959961,1897.280029,1814.359985,1883.949951,3589287600,1883.949951
3/3/2014,1857.680054,1883.969971,1834.439941,1872.339966,3579015700,1872.339966
2/3/2014,1782.680054,1867.920044,1737.920044,1859.449951,3875949400,1859.449951
1/2/2014,1845.859985,1850.839966,1770.449951,1782.589966,3806266600,1782.589966
12/2/2013,1806.550049,1849.439941,1767.98999,1848.359985,3203412300,1848.359985
11/1/2013,1758.699951,1813.550049,1746.199951,1805.810059,3261324500,1805.810059
10/1/2013,1682.410034,1775.219971,1646.469971,1756.540039,3498866500,1756.540039
9/3/2013,1635.949951,1729.859985,1633.410034,1681.550049,3474152000,1681.550049
8/1/2013,1689.420044,1709.670044,1627.469971,1632.969971,3069868600,1632.969971
7/1/2013,1609.780029,1698.780029,1604.569946,1685.72998,3270645900,1685.72998
6/3/2013,1631.709961,1654.189941,1560.329956,1606.280029,3996199000,1606.280029
5/1/2013,1597.550049,1687.180054,1581.280029,1630.73999,3661220400,1630.73999
4/1/2013,1569.180054,1597.569946,1536.030029,1597.569946,3674685000,1597.569946
3/1/2013,1514.680054,1570.280029,1501.47998,1569.189941,3591577500,1569.189941
2/1/2013,1498.109985,1530.939941,1485.01001,1514.680054,3851884200,1514.680054
1/2/2013,1426.189941,1509.939941,1426.189941,1498.109985,3802304200,1498.109985
12/3/2012,1416.339966,1448,1398.109985,1426.189941,3479625500,1426.189941
11/1/2012,1412.199951,1434.27002,1343.349976,1416.180054,3593110000,1416.180054
10/1/2012,1440.900024,1470.959961,1403.280029,1412.160034,3587115700,1412.160034
9/4/2012,1406.540039,1474.51001,1396.560059,1440.670044,3857553100,1440.670044
8/1/2012,1379.319946,1426.680054,1354.650024,1406.579956,3183567800,1406.579956
7/2/2012,1362.329956,1391.73999,1325.410034,1379.319946,3663113300,1379.319946
6/1/2012,1309.869995,1363.459961,1266.73999,1362.160034,4103472300,1362.160034
5/1/2012,1397.859985,1415.319946,1291.97998,1310.329956,4158095900,1310.329956
4/2/2012,1408.469971,1422.380005,1357.380005,1397.910034,3916786000,1397.910034
3/1/2012,1365.900024,1419.150024,1340.030029,1408.469971,3980752200,1408.469971
2/1/2012,1312.449951,1378.040039,1312.449951,1365.680054,4143404000,1365.680054
1/3/2012,1258.859985,1333.469971,1258.859985,1312.410034,4190155500,1312.410034
12/1/2011,1246.910034,1269.369995,1202.369995,1257.599976,3667346600,1257.599976
11/1/2011,1251,1277.550049,1158.660034,1246.959961,4289379000,1246.959961
10/3/2011,1131.209961,1292.660034,1074.77002,1253.300049,4874946600,1253.300049
9/1/2011,1219.119995,1229.290039,1114.219971,1131.420044,5104933800,1131.420044
8/1/2011,1292.589966,1307.380005,1101.540039,1218.890015,4942913400,1218.890015
7/1/2011,1320.640015,1356.47998,1282.859985,1292.280029,4308168000,1292.280029
6/1/2011,1345.199951,1345.199951,1258.069946,1320.640015,4105601300,1320.640015
5/2/2011,1365.209961,1370.579956,1311.800049,1345.199951,4114534200,1345.199951
